,0,1
0,4.8209825,3.383824
1,4.7842035,3.4908898
2,4.912446,3.4451637
3,4.9442973,3.5384707
4,5.418113,3.9093978
5,4.968413,3.9797075
6,-7.2955656,1.3778183
7,7.851233,6.2101655
8,4.806322,3.9541728
9,-7.4137383,1.2608887
10,5.226841,3.6004603
11,4.9091306,3.5966778
12,4.7758145,3.7693167
13,4.7452507,3.7722342
14,-7.5366664,2.1839154
15,5.327772,3.941559
16,7.9800158,6.335795
17,5.356427,3.9922574
18,5.0907884,3.592954
19,4.6918325,4.109159
20,-7.4668274,2.278784
21,7.40694,5.706743
22,4.975911,3.6783345
23,4.979069,3.6604505
24,4.3565435,3.6885927
25,4.8621373,3.7096004
26,5.056405,3.811562
27,-7.60755,2.716333
28,7.3843775,5.7804265
29,15.899625,11.60102
30,-7.7428074,2.8307161
31,-7.5047464,4.518543
32,7.563537,5.796562
33,5.5122533,3.9884164
34,5.0302277,3.6655796
35,7.8441095,6.040422
36,5.053539,3.8196828
37,4.482305,3.721558
38,7.7497005,6.1798954
39,-7.750639,2.7939308
40,5.4282928,4.0802283
41,5.1324706,3.7752314
42,5.377455,3.8522995
43,-7.442517,1.6364335
44,7.1871505,5.5397916
45,-7.8151364,2.8190415
46,4.280336,4.1806154
47,-7.486675,1.5944021
48,7.602685,5.8848004
49,7.8615565,6.174927
50,5.199039,3.7218337
51,4.6069565,3.6154137
52,4.5854244,3.740312
53,5.302801,3.7175004
54,-7.39144,1.7957388
55,7.8249655,6.2567344
56,5.555218,4.4770064
57,5.5562334,3.8609295
58,5.751607,4.443763
59,7.0862856,5.6234326
60,4.6848736,3.7564533
61,-6.953045,6.332106
62,4.729784,3.6858726
63,3.933046,4.1733108
64,4.88484,3.727978
65,-7.342317,1.4830347
66,4.913518,3.7945755
67,-7.639408,2.314658
68,-7.348262,1.3276583
69,7.881886,6.291661
70,4.6397314,3.9542913
71,-7.5287404,1.7580891
72,-6.9428964,1.3647093
73,4.1324697,4.2114563
74,4.7663374,4.2801366
75,-7.472256,1.7202958
76,4.4618297,4.5323796
77,5.144076,4.2705975
78,4.477917,3.9503682
79,4.465721,4.0027633
80,5.3256497,4.3246045
81,5.1681147,4.410504
82,3.6362834,4.243072
83,4.8988714,4.298866
84,5.0259643,3.4917188
85,17.113026,10.934535
86,5.0344954,4.141575
87,4.8772016,4.8138123
88,5.41475,4.2176204
89,7.6133113,5.9540143
90,3.9174452,4.106371
91,-7.6650534,2.9199986
92,5.3211794,4.591512
93,4.7927294,4.0757036
94,4.241889,4.272177
95,3.7504256,4.5894814
96,5.395196,4.3363776
97,4.477116,3.8501098
98,4.2291126,3.8658955
99,4.413277,3.953591
100,3.8236115,4.479697
101,4.0545197,4.2597504
102,3.9241397,3.9907188
103,4.9569755,4.131607
104,7.627743,6.2586102
105,-7.112995,1.5082291
106,7.2558637,5.761868
107,4.338998,4.362701
108,4.5007706,4.4747343
109,-7.6692443,2.780771
110,7.398523,5.8207927
111,-7.326545,1.7406071
112,5.4752884,4.303467
113,5.1164846,4.2567596
114,4.3964944,4.237917
115,4.386649,3.8728697
116,5.2886147,4.518354
117,4.11809,4.370745
118,4.2147465,3.9869764
119,3.931352,4.1020474
120,4.808619,4.3162117
121,3.8731785,4.063843
122,6.892869,5.3901615
123,4.854991,4.6955996
124,4.205449,4.538607
125,6.852526,5.363467
126,4.452442,3.7731106
127,-6.9026194,1.3431972
128,-7.2138624,1.8496573
129,3.5271213,4.0514317
130,4.3647976,4.9500866
131,4.7846603,4.400206
132,4.9910727,4.579699
133,3.7294214,4.768533
134,4.5501204,4.3751388
135,-7.2744713,2.955543
136,4.2560825,4.444584
137,3.3530998,4.4530954
138,4.055978,4.288017
139,-7.501977,2.0131705
140,3.9692988,4.557974
141,4.0359354,4.6570477
142,4.423495,4.6670513
143,-6.801514,2.1178732
144,7.7022147,6.488248
145,4.3753953,4.397333
146,-7.152464,1.6311986
147,4.1661925,4.9723167
148,-7.086425,1.631595
149,3.889744,4.6585
150,-7.2397485,1.6171228
151,3.9537334,4.844552
152,3.8854232,3.9221067
153,4.071257,5.3319817
154,4.041802,4.15672
155,4.077894,4.832858
156,7.5571623,6.457083
157,-7.095417,5.11994
158,3.9104648,4.5787125
159,4.664446,4.902301
160,3.2535558,4.6463294
161,-7.5366316,1.8142364
162,-7.316551,2.83839
163,5.040052,4.957022
164,7.405972,7.08517
165,3.4521472,5.0807786
166,-5.5093307,2.327034
167,3.442096,4.710997
168,3.4460633,4.6692295
169,-7.4883413,3.049998
170,4.3416486,3.846855
171,3.702444,4.7146416
172,-5.8017325,1.52104
173,-6.852471,1.7693704
174,4.0304856,4.292905
175,4.4845386,4.9289536
