,0,1
0,-3.5076654,5.6268244
1,-2.4402745,4.79104
2,-2.2714415,4.8591127
3,-3.1702921,5.806273
4,-2.5360293,5.0442624
5,0.15357913,3.2411807
6,-0.38798138,8.896015
7,0.6516143,3.881252
8,0.010327321,2.4051337
9,5.2779408,9.128627
10,-3.3781314,6.1524587
11,-3.1960087,6.5344925
12,-2.390364,4.3527994
13,-2.8288178,5.9842534
14,7.5426383,8.889272
15,-0.6668386,2.5892673
16,1.8285872,3.448373
17,0.17203347,2.599971
18,-0.2671899,3.2733533
19,-2.780032,5.3249464
20,10.478692,7.8195815
21,0.60568416,3.761454
22,-0.7770027,2.8315277
23,-2.4707592,4.9144087
24,-1.898901,4.787819
25,-3.199108,6.299147
26,-2.110869,4.790112
27,7.0888057,9.044193
28,0.4843501,3.8475068
29,17.801235,3.1563122
30,8.192041,8.731917
31,7.1526,9.004886
32,0.16652723,3.0034816
33,0.013964454,2.6983652
34,-1.7734395,4.9687066
35,-0.7020388,4.3223557
36,-1.3775796,4.550998
37,-1.870911,4.3058767
38,0.19690725,4.264455
39,8.269042,8.504385
40,-0.25998095,3.10792
41,-1.7308801,5.1227617
42,-2.7353044,5.7026863
43,2.6900725,9.301706
44,0.36797136,2.4231853
45,9.413312,8.419105
46,-3.3689723,5.8978424
47,6.0242257,9.035682
48,-1.6603663,5.3027797
49,0.80086553,3.8642895
50,-2.0874252,5.0202785
51,-0.5236016,3.239272
52,-0.883831,3.5911527
53,-2.2681713,5.255517
54,9.93147,8.002916
55,-0.2813693,6.033394
56,-1.6420537,4.964379
57,-2.0704796,5.450202
58,-0.3169402,3.0635228
59,-2.308371,5.4130244
60,3.7885163,1.8141152
61,4.119274,9.258657
62,0.6248086,2.7504141
63,-2.8776283,6.50106
64,-2.9807255,5.9642344
65,7.2289867,8.751005
66,0.07726395,2.5300543
67,3.2311916,9.341304
68,9.306621,7.9750223
69,0.59037536,3.9348662
70,-2.0391197,4.9223557
71,10.295093,7.8753715
72,9.225358,8.1851015
73,3.375808,2.0797331
74,0.09640181,2.6193254
75,7.340936,8.908705
76,-1.1193252,4.1840925
77,-2.4379635,5.1679206
78,-0.5384548,5.0626106
79,-1.6047891,6.293286
80,-1.757013,5.5754714
81,-0.91069496,3.822341
82,-0.18922052,3.8560092
83,-2.8147807,5.656004
84,-2.1960871,4.705102
85,-2.3464742,4.5010414
86,-0.8634627,3.9513614
87,-0.0321421,2.8955135
88,-1.2559557,4.7623153
89,2.2107825,3.164007
90,-3.1596687,5.9995055
91,8.966113,8.387763
92,-1.7843798,4.572076
93,-3.1468985,6.183093
94,-1.630578,4.9021792
95,-1.7736963,6.159174
96,0.43709788,2.5801287
97,-0.35138568,5.5977497
98,-2.1890574,5.0110803
99,-1.1758676,3.5613778
100,-2.5207806,5.5893826
101,-0.79732966,4.3487277
102,3.3436937,2.3245902
103,0.42880636,2.2468798
104,1.8566138,3.1942437
105,8.531251,7.9952636
106,3.8757515,2.075356
107,0.27982843,4.3387823
108,3.2283247,2.1472323
109,11.003004,7.4010906
110,1.8360215,3.0136654
111,5.83498,9.085296
112,-1.2519569,5.0960274
113,0.28765792,2.7345061
114,-1.1795962,4.165159
115,-0.82889795,4.9759107
116,3.5961916,1.3329079
117,-0.08686888,4.283305
118,-0.74178654,3.539631
119,0.5121074,2.393059
120,-0.52479964,1.9349791
121,-0.12099891,3.7378
122,1.0858184,3.4468176
123,-0.16961966,2.8947659
124,-0.37789497,3.7346866
125,-1.7113123,4.815064
126,-1.8092277,4.419133
127,9.649713,7.8854313
128,5.543192,9.063701
129,1.0931631,1.005348
130,0.09758973,4.553034
131,0.43270823,2.711937
132,-0.9421891,2.467201
133,2.6173332,3.0356576
134,3.4947817,2.2402222
135,8.24232,8.297915
136,4.1893554,1.2201887
137,0.32981455,4.2362947
138,3.8283582,1.485667
139,11.800008,6.8242693
140,-0.28017727,4.2260213
141,0.5921567,2.6166632
142,1.1014577,3.644501
143,4.134311,8.995332
144,9.1631775,-0.99597514
145,-1.7652272,5.285798
146,3.8744073,9.219001
147,-1.4862239,6.827301
148,4.873602,9.188451
149,1.0330168,4.4354224
150,10.467642,7.538075
151,0.91161126,4.3952417
152,3.0628622,2.7130291
153,3.0979743,2.694675
154,-0.2653314,1.7806737
155,2.4743187,3.263808
156,1.6007935,3.3172514
157,9.667712,7.8887057
158,-0.35552868,4.006098
159,0.55681705,4.733634
160,0.7647602,2.5792623
161,9.927037,7.635632
162,7.868556,8.443713
163,-0.34158614,3.9664822
164,8.438384,-0.56415236
165,-0.74623084,4.601085
166,8.434598,6.570684
167,-1.5306218,6.074699
168,1.0454526,4.1321335
169,9.658527,7.9771705
170,9.863306,-2.8322806
171,-0.43694252,4.9556603
172,5.087433,8.612128
173,8.966434,7.8809514
174,-0.73170924,3.8180468
175,1.5338999,2.8294666
176,2.5818555,2.9524302
177,4.5050287,1.6252089
178,10.92474,7.1214037
179,-0.61681104,4.384387
180,8.431382,7.5406647
181,3.7367558,8.998276
182,0.9515439,3.9794133
183,1.4947968,2.2866135
184,2.8112998,3.390462
185,1.3768644,2.4254122
186,1.2705278,4.3259063
187,9.9922085,7.72863
188,-0.52924657,1.659728
189,0.6784323,2.5463026
190,0.8594477,3.0787165
191,0.29414383,2.7587721
192,10.6016445,7.438827
193,10.358785,7.53927
194,10.991527,7.2041
195,6.5551376,0.9808768
196,9.08329,-1.2730776
197,12.511585,6.3050222
198,7.3690066,8.302269
199,7.600772,0.36621213
200,2.5725315,3.5137455
201,1.285153,2.2445726
202,3.8468568,1.0283481
203,2.6232095,2.7681348
204,9.159383,7.3139744
205,5.1521177,8.7957115
206,1.5217286,3.0597858
207,1.3725276,2.0386677
208,11.91036,6.7985973
209,8.618754,7.4659386
210,2.80002,2.9724438
211,10.7042465,7.123368
212,-0.4195337,4.1541376
213,-1.1807246,5.0829477
214,2.0220892,2.4626017
215,2.842886,3.2320309
216,9.321785,8.03289
217,3.2728198,2.2863283
218,2.87144,2.9533865
219,-0.53767335,2.0121658
220,8.879092,7.990473
221,9.0127325,-0.6632348
222,1.1362839,4.021671
223,0.9360257,2.4784465
224,0.74383575,2.8921697
225,3.2022123,2.8298373
226,10.578649,-0.48526108
227,1.9167788,4.551338
228,1.6806347,2.561514
229,-0.7490618,4.9100842
230,-0.11648068,3.2492356
231,2.168481,1.3340474
232,3.2007868,1.8137351
233,2.062517,2.1888654
234,1.8569251,3.0472603
235,11.86959,6.352671
236,3.002154,1.7665827
237,8.795504,-1.0953013
238,5.367793,8.612879
239,8.982842,7.1178975
240,6.1944427,2.2441382
241,1.4312936,2.6156554
242,11.873739,6.6108174
243,4.4081383,0.6139736
244,1.1200871,3.7635374
245,1.1979756,2.7388296
246,-1.5117269,6.312451
247,8.777134,7.201518
248,9.475709,-0.8538633
249,10.471072,-1.9129581
250,6.2986345,0.73911643
251,2.9379475,2.6046476
252,1.86625,1.1221588
253,4.2383013,8.505363
254,0.88124514,4.4992795
255,4.645671,8.763553
256,10.422816,6.7608685
257,1.0817453,2.0119722
258,9.7219715,-2.870193
259,2.1576076,6.636327
260,5.0248795,8.562504
261,2.7905433,0.5308948
262,2.755638,1.8240606
263,2.8442657,1.5083878
264,1.714531,2.6646366
265,8.886584,7.407723
266,8.540974,6.0133834
267,12.153447,6.028165
268,0.055646267,5.729462
269,10.380996,4.916128
270,9.07528,-0.29706517
271,11.247312,6.552051
272,8.615341,7.3757586
273,5.961475,2.1451175
274,0.9162488,7.9388003
275,9.010177,-0.3850559
276,4.012103,0.8125421
277,0.85093915,2.6797242
278,4.37702,2.5998163
279,2.427725,2.6509213
280,6.6658134,0.94908375
281,11.211544,6.6447034
282,1.2566777,3.8737614
283,11.999524,6.406352
284,13.777248,5.023635
285,6.9744997,1.2394013
286,4.5147605,0.24040914
287,13.584239,5.064195
288,13.937103,4.8618307
289,3.2198906,2.5988078
290,8.682831,-0.5524438
